Group,inheri,GENE.x,DMIM,Orph,GroupN,GENE.y,gene mim,disease name,DDD category,allelic requirement,mutation consequence,phenotypes,organ specificity list,pmids,panel,prev symbols,hgnc id,gene disease pair entry date
Thanatophoric dysplasia type 1,AD,FGFR3,187600,18060,1,FGFR3,134934,THANATOPHORIC DYSPLASIA TYPE 1,confirmed,monoallelic,activating,HP:0000256;HP:0004565;HP:0000006;HP:0002187;HP:0000773;HP:0002093;HP:0003015;HP:0001252;HP:0000774;HP:0002676;HP:0008909;HP:0003185;HP:0003026;HP:0000238;HP:0000946;HP:0002007;HP:0006487;HP:0006584;HP:0002282;HP:0000274;HP:0003811;HP:0001561;HP:0001558;HP:0002677;HP:0000910,Skin;Skeleton;Heart/Cardiovasculature/Lymphatic,19449430;7647778;7773297;8845844,DD,ACH,3690,2015-07-22 16:15:21
Thanatophoric dysplasia type 2,AD,FGFR3,187601,93274,1,FGFR3,134934,THANATOPHORIC DYSPLASIA TYPE 2,confirmed,monoallelic,activating,HP:0000006;HP:0000773;HP:0002093;HP:0003015;HP:0000774;HP:0000926;HP:0002676;HP:0008909;HP:0000946;HP:0003185;HP:0006584;HP:0000274;HP:0003811;HP:0001558;HP:0001561;HP:0001156;HP:0002677;HP:0000910,Skin;Skeleton;Heart/Cardiovasculature/Lymphatic,7773297,DD,ACH,3690,2015-07-22 16:15:10
Severe achondroplasia with developmental delay and acanthosis nigricans (SADDAN),AD,FGFR3,616482,85165,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Achondroplasia,AD,FGFR3,100800,15,1,FGFR3,134934,ACHONDROPLASIA,confirmed,monoallelic,activating,HP:0008921;HP:0000006;HP:0001355;HP:0002970;HP:0003015;HP:0004060;HP:0002938;HP:0002781;HP:0000405;HP:0000403;HP:0005733;HP:0000238;HP:0001377;HP:0002007;HP:0000272;HP:0001270;HP:0008905;HP:0008947;HP:0002761;HP:0005280;HP:0008414;HP:0003093;HP:0001156;HP:0002512;HP:0002677;HP:0100864,Skin;Skeleton;Heart/Cardiovasculature/Lymphatic,16411219;8078586;7758520;16912704;7913883,DD,ACH,3690,2015-07-22 16:15:02
Hypochondroplasia,AD,FGFR3,146000,427,1,FGFR3,134934,HYPOCHONDROPLASIA,confirmed,monoallelic,activating,HP:0000256;HP:0001377;HP:0002007;HP:0003026;HP:0000272;HP:0001249;HP:0000006;HP:0009815;HP:0002970;HP:0002644;HP:0011405;HP:0003015;HP:0002938;HP:0001156,Skin;Skeleton;Heart/Cardiovasculature/Lymphatic,11055896;7670477;16912704;10215410;9452043;8589686,DD,ACH,3690,2015-07-22 16:15:18
"Camptodactyly, tall stature and hearing loss syndrome (CATSHL)","AD, AR",FGFR3,610474,85164,1,FGFR3,134934,CAMPTODACTYLY TALL STATURE AND HEARING LOSS SYNDROME,confirmed,monoallelic,all missense/in frame,HP:0000252;HP:0001249;HP:0001836;HP:0000006;HP:0000098;HP:0001263;HP:0009473;HP:0004570;HP:0000767;HP:0002650;HP:0000407;HP:0006417,Skin;Skeleton;Heart/Cardiovasculature/Lymphatic,27139183;17033969,DD,ACH,3690,2015-07-22 16:15:15
Achondrogenesis type 2 (Langer-Saldino),AD,COL2A1,200610,93296,2,COL2A1,120140,ACHONDROGENESIS TYPE 2,confirmed,monoallelic,dominant negative,HP:0000256;HP:0004565;HP:0003175;HP:0008921;HP:0000175;HP:0005622;HP:0003021;HP:0003270;HP:0001760;HP:0000476;HP:0005716;HP:0200083;HP:0004605;HP:0001789;HP:0003026;HP:0000883;HP:0003521;HP:0003180;HP:0009826;HP:0002866;HP:0005451;HP:0004591;HP:0000006;HP:0001538;HP:0000773;HP:0003173;HP:0000774;HP:0000280;HP:0000888;HP:0004298;HP:0000946;HP:0000969;HP:0000470;HP:0001561;HP:0001248;HP:0008873;HP:0003826;HP:0001552,Face;Skeleton,14729840;15054848;7757081;3195588;1429602;7829510;1374906,DD,SEDC;AOM,2200,2015-07-22 16:14:19
Hypochondrogenesis,AD,COL2A1,200610,93297,2,COL2A1,120140,ACHONDROGENESIS TYPE 2,confirmed,monoallelic,dominant negative,HP:0000256;HP:0004565;HP:0003175;HP:0008921;HP:0000175;HP:0005622;HP:0003021;HP:0003270;HP:0001760;HP:0000476;HP:0005716;HP:0200083;HP:0004605;HP:0001789;HP:0003026;HP:0000883;HP:0003521;HP:0003180;HP:0009826;HP:0002866;HP:0005451;HP:0004591;HP:0000006;HP:0001538;HP:0000773;HP:0003173;HP:0000774;HP:0000280;HP:0000888;HP:0004298;HP:0000946;HP:0000969;HP:0000470;HP:0001561;HP:0001248;HP:0008873;HP:0003826;HP:0001552,Face;Skeleton,14729840;15054848;7757081;3195588;1429602;7829510;1374906,DD,SEDC;AOM,2200,2015-07-22 16:14:19
"Platyspondylic dysplasia, Torrance type",AD,COL2A1,151210,85166,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spondyloepiphyseal dysplasia congenita (SEDC),"AD, AR*",COL2A1,183900,94068,2,COL2A1,120140,SPONDYLOEPIPHYSEAL DYSPLASIA CONGENITA,confirmed,monoallelic,uncertain,HP:0000006;HP:0002098;HP:0000175;HP:0010501;HP:0003311;HP:0002827;HP:0001252;HP:0003071;HP:0003300;HP:0000926;HP:0000541;HP:0002938;HP:0008142;HP:0002091;HP:0008800;HP:0002318;HP:0000007;HP:0000272;HP:0002812;HP:0000545;HP:0000655;HP:0000470;HP:0000768;HP:0002996;HP:0002650;HP:0001552;HP:0008788;HP:0002515;HP:0008857;HP:0001762;HP:0002808,Eye: Retina;Face;Skeleton;Eye: Physiology,2543071;25060605;2339128;8423604;26626311;26358419;8325895;26443184,DD,SEDC;AOM,2200,2015-07-22 16:15:35
