Group,inheri,GENE,DMIM,Orph,GroupN
Severe achondroplasia with developmental delay and acanthosis nigricans (SADDAN),AD,FGFR3,616482,85165,1
"Platyspondylic dysplasia, Torrance type",AD,COL2A1,151210,85166,2
NA,NA,NA,616583,NA,2
NA,NA,NA,604864,NA,2
NA,NA,NA,184253,93316,2
NA,NA,NA,NA,85198,2
Spondyloperipheral dysplasia,AD,COL2A1,271700,1856,2
SED with metatarsal shortening (formerly Czech dysplasia),AD,COL2A1,609162,137678,2
Stickler syndrome type 1,AD,COL2A1,108300,828,2
NA,NA,NA,NA,90653,2
Dysplasia of the proximal femoral epiphyses,AD,COL2A1,608805,2380,2
NA,NA,NA,150600,NA,2
Marshall syndrome,AD,COL11A1,154780,560,3
NA,"AR, AD",COL11A2,614524,NA,3
Atelosteogenesis type 2 (AO2),AR,SLC26A2,256050,56304,4
Diastrophic dysplasia (DTD),AR,SLC26A2,222600,628,4
NA,NA,NA,224400,156731,5
Schwartz-Jampel syndrome (myotonic chondrodystrophy),AR,HSPG2,255800,800,5
Short stature and advanced bone age,AD,ACAN,165800,364817,6
NA,AD,TAB2,NA,NA,7
Cardiospondylocarpofacial syndrome,AD,MAP3K7,157800,3238,7
Otopalatodigital syndrome type 1 (OPD1),XL,FLNA,311300,90650,7
Otopalatodigital syndrome type 2 (OPD2),XL,FLNA,304120,90650,7
NA,NA,NA,112310,1263,7
NA,"AD, AR",MYH3,NA,NA,7
"Spondyloepimetaphyseal dysplasia, Maroteaux type (Pseudo-Morquio syndrome type 2)",AD,TRPV4,184095,263482,8
"Brachyolmia, autosomal dominant type",AD,TRPV4,113500,93304,8
Familial digital arthropathy with brachydactyly,AD,TRPV4,606835,85169,8
Chondroectodermal dysplasia (Ellis-van Creveld),AR,EVC1,225500,289,9
NA,AR,EVC2,NA,NA,9
NA,AR,WDR35,NA,NA,9
NA,AR,DYNC2LI1,NA,NA,9
NA,AR,IFT80,NA,93271,9
NA,AR,WDR34,NA,NA,9
NA,AR,WDR60,NA,NA,9
NA,AR,DYNC2LI1,NA,NA,9
NA,AR,DYNC2LI1,NA,NA,9
NA,AR,NA,NA,NA,9
NA,AR,WDR34,NA,NA,9
NA,AR,NA,NA,NA,9
NA,NA,TCTEX1D2,NA,NA,9
NA,AR,NA,NA,NA,9
NA,AR,WDR60,NA,NA,9
NA,AR,NA,NA,NA,9
NA,AR,WDR19,NA,NA,9
NA,AR,IFT140,NA,NA,9
NA,AR,NA,NA,NA,9
NA,AR,TTC21B,NA,NA,9
NA,AR,NA,NA,NA,9
NA,AR,IFT80,NA,NA,9
NA,AR,IFT172,NA,NA,9
NA,AR,NA,NA,NA,9
NA,AR,IFT81,NA,NA,9
NA,NA,IFT52,NA,NA,9
NA,NA,TRAF3IP1,NA,NA,9
NA,NA,CFAP410,NA,NA,9
NA,NA,CEP120,NA,NA,9
NA,NA,KIAA0586,NA,NA,9
