Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
ABCC9	gene	ABCC9	Expert Review Green;NHS GMS	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	"Hypertrichotic osteochondrodysplasia  23985 (Cantu syndrome);Hypertrichotic osteochondrodysplasia	239850"						False	3	67;33;0	7.5	False		ENSG00000069431	ENSG00000069431	HGNC:60													
ACAN	gene	ACAN	Emory Genetics Laboratory;Expert Review Green;NHS GMS;Radboud University Medical Center, Nijmegen	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Osteochondritis dissecans, short stature, and early-onset osteoarthritis 165800;Spondyloepimetaphyseal dysplasia, aggrecan type 61283;Spondyloepiphyseal dysplasia, Kimberley type 608361				24762113		False	3	67;33;0	7.5	False		ENSG00000157766	ENSG00000157766	HGNC:319													
ACP5	gene	ACP5	Expert Review Green;NHS GMS	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Spondyloenchondrodysplasia with immune dysregulation 607944						False	3	67;33;0	7.5	False		ENSG00000102575	ENSG00000102575	HGNC:124													
ACVR1	gene	ACVR1	Expert Review Green;NHS GMS	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Fibrodysplasia ossificans progressiva 135100						False	3	67;33;0	7.5	False		ENSG00000115170	ENSG00000115170	HGNC:171													
ADAMTS10	gene	ADAMTS10	Expert Review Green;NHS GMS	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Weill-Marchesani syndrome 1, recessive, 277600				15368195;19836009;30060141		False	3	50;50;0	7.5	False		ENSG00000142303	ENSG00000142303	HGNC:13201													
ADAMTS17	gene	ADAMTS17	Expert Review Green;NHS GMS	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Weill-Marchesani syndrome type 4				19836009;22486325;31019231;24940034		False	3	50;50;0	7.5	False		ENSG00000140470	ENSG00000140470	HGNC:17109													
ADAMTSL2	gene	ADAMTSL2	Expert Review Green;NHS GMS	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Geleophysic dysplasia 1 231050						False	3	67;33;0	7.5	False		ENSG00000197859	ENSG00000197859	HGNC:14631													
AFF3	gene	AFF3	Expert Review Green;NHS GMS	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	KINSSHIP syndrome, OMIM:619297				18616733;21677750;25660031;31388108;33961779		False	3	100;0;0	7.5	False		ENSG00000144218	ENSG00000144218	HGNC:6473													
AGA	gene	AGA	Emory Genetics Laboratory;Expert list;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;NHS GMS;Radboud University Medical Center, Nijmegen	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Aspartylglucosaminuria 208400 (Patients may be tall for their age, but lack of a growth spurt in puberty typically causes adults to be short)						False	3	67;33;0	7.5	False		ENSG00000038002	ENSG00000038002	HGNC:318													
AGPS	gene	AGPS	Emory Genetics Laboratory;Expert Review Green;NHS GMS;Radboud University Medical Center, Nijmegen;UKGTN	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	"Foundation Trust)	Rhizomelic chondrodysplasia punctata, type 3 600121;Rhizomelic chondrodysplasia punctata, type 3 600121"						False	3	67;33;0	7.5	False		ENSG00000018510	ENSG00000018510	HGNC:327													
ALG12	gene	ALG12	Expert Review Green;NHS GMS	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Congenital disorder of glycosylation, type Ig 607143						False	3	67;33;0	7.5	False		ENSG00000182858	ENSG00000182858	HGNC:19358													
ALG3	gene	ALG3	Expert Review Green;NHS GMS	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Congenital disorder of glycosylation, type Id 601110						False	3	67;33;0	7.5	False		ENSG00000214160	ENSG00000214160	HGNC:23056													
ALG9	gene	ALG9	Expert Review Green;NHS GMS	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	"Gillessen-Kaesbach-Nishimura syndrome 263210;Congenital disorder of glycosylation, type Il 608776;Gillessen-Kaesbach-Nishimura syndrome	263210"				25966638		False	3	67;33;0	7.5	False		ENSG00000086848	ENSG00000086848	HGNC:15672													
ALPL	gene	ALPL	Emory Genetics Laboratory;Expert Review Green;NHS GMS	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal	hypophosphatasia; skeletal dysplasias;skeletal dysplasias;Osteogenesis Imperfecta and Decreased Bone Density						False	3	75;25;0	7.5	False		ENSG00000162551	ENSG00000162551	HGNC:438													
ALX1	gene	ALX1	Expert list;Expert Review Green;NHS GMS;Radboud University Medical Center, Nijmegen;UKGTN	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Frontonasal dysplasia type 3 613456;Frontonasal dysplasia 3 613456				27324866;20451171		False	3	33;33;33	7.5	False		ENSG00000180318	ENSG00000180318	HGNC:1494													
ALX3	gene	ALX3	Expert list;Expert Review Green;NHS GMS;Radboud University Medical Center, Nijmegen;UKGTN	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Frontonasal dysplasia 1 136760 (frontorhiny);Frontonasal dysplasia 1 136760						False	3	67;33;0	7.5	False		ENSG00000156150	ENSG00000156150	HGNC:449													
ALX4	gene	ALX4	Expert Review Green;NHS GMS	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Frontonasal dysplasia 2 613451						False	3	67;33;0	7.5	False		ENSG00000052850	ENSG00000052850	HGNC:450													
AMER1	gene	AMER1	Expert list;Expert Review Green;NHS GMS;Radboud University Medical Center, Nijmegen;UKGTN	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	"Osteopathia striata with cranial sclerosis	300373;Osteopathia striata with cranial sclerosis 300373"						False	3	67;33;0	7.5	False		ENSG00000184675	ENSG00000184675	HGNC:26837													
ANAPC1	gene	ANAPC1	Expert Review Green;Literature;NHS GMS	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Rothmund Thomson syndrome type 1, OMIM:618625, MONDO:0016368				31303264		False	3	67;33;0	7.5	False		ENSG00000153107	ENSG00000153107	HGNC:19988													
