Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
ABCC9	gene	ABCC9	Expert Review Green;NHS GMS;Victorian Clinical Genetics Services	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	"Hypertrichotic osteochondrodysplasia  23985 (Cantu syndrome);Hypertrichotic osteochondrodysplasia	239850"			Skeletal dysplasia;HP:0002652			False	3	100;0;0	0.298	False		ENSG00000069431	ENSG00000069431	HGNC:60													
ABL1	gene	ABL1	Expert Review Green;Literature;NHS GMS	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Congenital heart defects and skeletal malformations syndrome, 617602			Skeletal dysplasia;HP:0002652	28288113;30855488;32643838		False	3	100;0;0	0.298	True	Loss-of-function variants (as defined in pop up message) DO NOT cause this phenotype - please provide details in the comments	ENSG00000097007	ENSG00000097007	HGNC:76													
ACAN	gene	ACAN	Emory Genetics Laboratory;Expert list;Expert Review Green;NHS GMS;Radboud University Medical Center, Nijmegen	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Spondyloepiphyseal dysplasia, Kimberley type 608361;Osteochondritis dissecans, short stature, and early-onset osteoarthritis 165800;Spondyloepimetaphyseal dysplasia, aggrecan type 61283			Skeletal dysplasia;HP:0002652	24762113		False	3	100;0;0	0.298	False		ENSG00000157766	ENSG00000157766	HGNC:319													
ACP5	gene	ACP5	Expert Review Green;NHS GMS	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Spondyloenchondrodysplasia with immune dysregulation 607944			Skeletal dysplasia;HP:0002652			False	3	100;0;0	0.298	False		ENSG00000102575	ENSG00000102575	HGNC:124													
ACVR1	gene	ACVR1	Expert Review Green;NHS GMS;Victorian Clinical Genetics Services	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Fibrodysplasia ossificans progressiva 135100			Skeletal dysplasia;HP:0002652	16642017;29089047		False	3	100;0;0	0.298	True		ENSG00000115170	ENSG00000115170	HGNC:171													
ADAMTS10	gene	ADAMTS10	Expert list;Expert Review Green;NHS GMS;Victorian Clinical Genetics Services	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Weill-Marchesani syndrome 1, recessive, 277600			Skeletal dysplasia;HP:0002652	19836009;30060141;15368195		False	3	100;0;0	0.298	False		ENSG00000142303	ENSG00000142303	HGNC:13201													
ADAMTS17	gene	ADAMTS17	Expert Review Green;NHS GMS;Victorian Clinical Genetics Services	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Weill-Marchesani syndrome type 4			Skeletal dysplasia;HP:0002652	19836009;31019231;22486325;24940034		False	3	100;0;0	0.298	False		ENSG00000140470	ENSG00000140470	HGNC:17109													
ADAMTSL2	gene	ADAMTSL2	Expert Review Green;NHS GMS;Victorian Clinical Genetics Services	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	BIALLELIC, autosomal or pseudoautosomal	Geleophysic dysplasia 1 231050			Skeletal dysplasia;HP:0002652			False	3	100;0;0	0.298	False		ENSG00000197859	ENSG00000197859	HGNC:14631													
AFF3	gene	AFF3	Expert Review Green	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	KINSSHIP syndrome, MIM# 619297			Skeletal dysplasia;HP:0002652	31388108;33961779		False	3	100;0;0	0.298	True		ENSG00000144218	ENSG00000144218	HGNC:6473													
AFF4	gene	AFF4	Expert Review Green;Other;Victorian Clinical Genetics Services	Skeletal dysplasia	Skeletal dysplasias	Skeletal disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	CHOPS syndrome MIM#616368			Skeletal dysplasia;HP:0002652	25730767;31058441		False	3	100;0;0	0.298	True	Other	ENSG00000072364	ENSG00000072364	HGNC:17869													
